"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8289","Verify Subscription in home page","chromium","Thu Jan 02 18:04:16 EET 2025","passed","Thu Jan 02 18:04:24 EET 2025","Subscription Test cases","E2E flows\subdcription.spec.ts","",""
"","4753","Login User with incorrect email and password","chromium","Thu Jan 02 18:02:19 EET 2025","passed","Thu Jan 02 18:02:23 EET 2025","Login Test Cases","Authentication\login.spec.ts","",""
"","5861","Verify All Products and product detail page","chromium","Thu Jan 02 18:04:31 EET 2025","passed","Thu Jan 02 18:04:36 EET 2025","Products test cases","E2E Products flows\products.spec.ts","",""
"","11728","Login User with correct email and password","chromium","Thu Jan 02 18:02:07 EET 2025","passed","Thu Jan 02 18:02:18 EET 2025","Login Test Cases","Authentication\login.spec.ts","",""
"","6293","Register User","chromium","Thu Jan 02 18:02:31 EET 2025","passed","Thu Jan 02 18:02:37 EET 2025","Register Test cases","Authentication\register.spec.ts","",""
"","2","Search Product","chromium","Thu Jan 02 18:04:36 EET 2025","skipped","Thu Jan 02 18:04:36 EET 2025","Products test cases","E2E Products flows\products.spec.ts","",""
"","7358","Logout User","chromium","Thu Jan 02 18:02:23 EET 2025","passed","Thu Jan 02 18:02:31 EET 2025","Logout Test Cases","Authentication\logout.spec.ts","",""
"","4","Contact Us Form","chromium","Thu Jan 02 18:04:14 EET 2025","skipped","Thu Jan 02 18:04:14 EET 2025","Contact Us test cases","E2E flows\contactUs.spec.ts","",""
"","6217","Verify Subscription in Cart page","chromium","Thu Jan 02 18:04:24 EET 2025","passed","Thu Jan 02 18:04:31 EET 2025","Subscription Test cases","E2E flows\subdcription.spec.ts","",""
"","5958","Register User with existing email","chromium","Thu Jan 02 18:02:37 EET 2025","passed","Thu Jan 02 18:02:43 EET 2025","Register Test cases","Authentication\register.spec.ts","",""
